total_units,units_2,units_3_4,units_5_9,units_10_19,units_20plus,median_rent,median_value,renter_occupied,total_occupied,population,median_hh_income,GEOID,affordability_stress_index,rent_burdened,mf_share,log_rent,log_income,mean_max_height_ft,mean_max_far,mean_max_du_per_acre
4905,640,1137,499,176,116,1106.0,772200.0,471,1996,3630,91447.0,25001010100,0.14513324657998622,0.0,0.5235474006116208,7.00850518208228,11.42351484846955,,,
4862,172,16,6,0,0,1289.0,683300.0,279,1975,4352,97396.0,25001010206,0.15881555710706804,0.0,0.03990127519539284,7.161622002939187,11.486540421025516,,,
3449,21,29,22,17,17,,701300.0,169,1031,1627,89243.0,25001010208,,,0.030733545955349377,,11.399118265193435,,,
2935,28,25,0,0,0,,646900.0,57,1363,2739,68633.0,25001010304,,,0.01805792163543441,,11.136528747609411,,,
3458,118,57,0,0,0,1683.0,609100.0,128,1361,2985,81078.0,25001010306,0.24909346555169096,0.0,0.05060728744939271,7.428333194190806,11.30316693326614,,,
2736,39,166,75,55,250,1231.0,576100.0,415,1587,3342,78232.0,25001010400,0.18882298803558648,0.0,0.2138157894736842,7.115582126184454,11.267434049992112,,,
3208,58,26,23,77,0,1038.0,892500.0,228,1417,2980,99403.0,25001010500,0.12530808929307968,0.0,0.057356608478802994,6.945051063725834,11.506937573275744,,,
3044,128,75,87,33,34,1154.0,787300.0,194,1589,3247,75417.0,25001010600,0.1836190779267274,0.0,0.11727989487516426,7.050989447068045,11.230787992773799,,,
4485,85,127,39,0,0,1304.0,798300.0,192,1700,3360,108984.0,25001010700,0.14358070909491302,0.0,0.05596432552954292,7.1731917424865985,11.598956361445897,,,
3900,124,45,50,0,113,1531.0,628500.0,390,2266,4987,95949.0,25001010800,0.19147672200856705,0.0,0.08512820512820513,7.333676395657684,11.471572079286695,,,
4289,83,223,231,208,0,994.0,553500.0,373,2306,5354,95784.0,25001010900,0.12453019293410172,0.0,0.17370016320820705,6.901737206656574,11.46985093539668,,,
3541,12,95,34,10,63,3501.0,540500.0,210,1766,4220,82391.0,25001011002,0.5099100629923171,1.0,0.06043490539395651,8.160803920954665,11.319231486631294,,,
